證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00687B ,國泰20年美債 ,20170504,    36.7318,    36.8723,     3881
00679B ,元大美債20年 ,20170505,    35.1718,    35.1904,     2565
00687B ,國泰20年美債 ,20170505,    36.7131,    36.8630,     4511
00679B ,元大美債20年 ,20170508,    35.1904,    35.1533,     1421
00687B ,國泰20年美債 ,20170508,    36.7131,    36.7693,     3094
00679B ,元大美債20年 ,20170509,    35.1533,    35.0791,     1338
00687B ,國泰20年美債 ,20170509,    36.6663,    36.6476,     3824
00679B ,元大美債20年 ,20170510,    35.0976,    35.1347,     3503
00687B ,國泰20年美債 ,20170510,    36.6757,    36.7693,     4748
00679B ,元大美債20年 ,20170511,    35.1162,    35.0698,     3786
00687B ,國泰20年美債 ,20170511,    36.6569,    36.6382,     4553
00679B ,元大美債20年 ,20170512,    35.0234,    35.0791,     4047
00687B ,國泰20年美債 ,20170512,    36.6288,    36.6850,     6381
00679B ,元大美債20年 ,20170515,    35.1069,    35.1718,     1900
00687B ,國泰20年美債 ,20170515,    36.7880,    36.8161,     5265
00679B ,元大美債20年 ,20170516,    35.0234,    35.1254,     3429
00687B ,國泰20年美債 ,20170516,    36.6476,    36.7506,     1624
00679B ,元大美債20年 ,20170517,    35.2182,    35.3295,     3648
00687B ,國泰20年美債 ,20170517,    36.8536,    36.9566,     9442
00679B ,元大美債20年 ,20170518,    35.7098,    35.7933,     6049
00687B ,國泰20年美債 ,20170518,    37.1627,    37.3874,     8207
00679B ,元大美債20年 ,20170519,    35.8767,    35.8304,     3313
00687B ,國泰20年美債 ,20170519,    37.3687,    37.5092,     7252
00679B ,元大美債20年 ,20170522,    35.8304,    35.5985,      757
00687B ,國泰20年美債 ,20170522,    37.3031,    37.2376,     7378
00679B ,元大美債20年 ,20170523,    35.5985,    35.7840,     2902
00687B ,國泰20年美債 ,20170523,    37.3031,    37.4249,     4627
00679B ,元大美債20年 ,20170524,    35.6820,    35.6541,     2406
00687B ,國泰20年美債 ,20170524,    37.2095,    37.2750,     7469
00679B ,元大美債20年 ,20170525,    35.6541,    35.6449,     2141
00687B ,國泰20年美債 ,20170525,    37.2657,    37.2563,     3968
00679B ,元大美債20年 ,20170526,    35.6449,    35.7005,      482
00687B ,國泰20年美債 ,20170526,    37.2657,    37.3219,     3385
00679B ,元大美債20年 ,20170531,    35.7098,    35.9324,     3730
00687B ,國泰20年美債 ,20170531,    37.3312,    37.5186,     2665
00679B ,元大美債20年 ,20170601,    35.9231,    36.0066,     3901
00687B ,國泰20年美債 ,20170601,    37.5186,    37.6216,     6953
00679B ,元大美債20年 ,20170602,    35.9973,    36.0715,     4075
00687B ,國泰20年美債 ,20170602,    37.6028,    37.6684,     8800
00679B ,元大美債20年 ,20170603,    36.0808,    36.2663,      139
00687B ,國泰20年美債 ,20170603,    37.7433,    37.9775,      103
00679B ,元大美債20年 ,20170605,    36.3127,    36.3776,     2479
00687B ,國泰20年美債 ,20170605,    38.0337,    37.9962,    11689
00679B ,元大美債20年 ,20170606,    36.3498,    36.3034,     2717
00687B ,國泰20年美債 ,20170606,    37.9119,    37.9213,     6494
00679B ,元大美債20年 ,20170607,    36.3405,    36.3962,     2457
00687B ,國泰20年美債 ,20170607,    38.0149,    37.9681,     9353
00696B ,富邦美債20年 ,20170608,    37.7214,    37.6363,     1543
00679B ,元大美債20年 ,20170608,    36.3683,    36.3220,     2538
00687B ,國泰20年美債 ,20170608,    37.9306,    37.8183,     2838
00694B ,富邦美債1-3  ,20170608,    38.3019,    38.2251,     1562
00695B ,富邦美債7-10 ,20170608,    36.2620,    36.1802,     1519
00696B ,富邦美債20年 ,20170609,    37.6552,    37.6363,     2264
00679B ,元大美債20年 ,20170609,    36.2292,    36.2014,     3182
00687B ,國泰20年美債 ,20170609,    37.8276,    37.7902,     5145
00694B ,富邦美債1-3  ,20170609,    38.3499,    38.2923,     1619
00695B ,富邦美債7-10 ,20170609,    36.2620,    36.2166,     1609
00696B ,富邦美債20年 ,20170612,    37.5229,    37.5702,     1677
00679B ,元大美債20年 ,20170612,    36.2014,    36.1272,     3940
00687B ,國泰20年美債 ,20170612,    37.7808,    37.7340,     6561
00694B ,富邦美債1-3  ,20170612,    38.3499,    38.3403,     1263
00695B ,富邦美債7-10 ,20170612,    36.1166,    36.2166,     1213
00696B ,富邦美債20年 ,20170613,    37.5607,    37.5796,     1130
00679B ,元大美債20年 ,20170613,    36.1272,    36.2292,     3717
00687B ,國泰20年美債 ,20170613,    37.7714,    37.8276,     2997
00694B ,富邦美債1-3  ,20170613,    38.3787,    38.3883,      892
00695B ,富邦美債7-10 ,20170613,    36.2620,    36.2802,     1384
00696B ,富邦美債20年 ,20170614,    37.6647,    37.7309,     1268
00679B ,元大美債20年 ,20170614,    36.2292,    36.2941,     4622
00687B ,國泰20年美債 ,20170614,    37.7902,    37.9494,    10345
00694B ,富邦美債1-3  ,20170614,    38.3691,    38.4555,     1405
00695B ,富邦美債7-10 ,20170614,    36.3074,    36.3892,     1185
00696B ,富邦美債20年 ,20170615,    38.1941,    38.3454,      810
00679B ,元大美債20年 ,20170615,    36.6373,    36.8877,     4469
00687B ,國泰20年美債 ,20170615,    38.1741,    38.5394,     5292
00694B ,富邦美債1-3  ,20170615,    38.4267,    38.4555,     1787
00695B ,富邦美債7-10 ,20170615,    36.4438,    36.5437,     1245
00696B ,富邦美債20年 ,20170616,    38.2508,    38.4210,     1834
00679B ,元大美債20年 ,20170616,    36.7857,    37.0083,     5214
00687B ,國泰20年美債 ,20170616,    38.4551,    38.6143,     4850
00694B ,富邦美債1-3  ,20170616,    38.5035,    38.6571,     2044
00695B ,富邦美債7-10 ,20170616,    36.5528,    36.5892,     1659
00696B ,富邦美債20年 ,20170619,    38.4305,    38.3737,     1575
00679B ,元大美債20年 ,20170619,    36.9620,    36.9898,     3993
00687B ,國泰20年美債 ,20170619,    38.5769,    38.5581,     2594
00694B ,富邦美債1-3  ,20170619,    38.6859,    38.6187,     1300
00695B ,富邦美債7-10 ,20170619,    36.7073,    36.6164,     1659
00696B ,富邦美債20年 ,20170620,    38.4021,    38.4116,     2177
00679B ,元大美債20年 ,20170620,    36.9156,    37.0547,     7376
00687B ,國泰20年美債 ,20170620,    38.5862,    38.6050,     2216
00694B ,富邦美債1-3  ,20170620,    38.6187,    38.6283,     1600
00695B ,富邦美債7-10 ,20170620,    36.5710,    36.6074,     2055
00696B ,富邦美債20年 ,20170621,    38.7803,    38.8654,     1921
00679B ,元大美債20年 ,20170621,    37.2402,    37.3793,     2657
00687B ,國泰20年美債 ,20170621,    38.9047,    38.9983,     3337
00694B ,富邦美債1-3  ,20170621,    38.7051,    38.7819,     2270
00695B ,富邦美債7-10 ,20170621,    36.7709,    36.7891,     3149
00696B ,富邦美債20年 ,20170622,    38.9315,    38.9693,     1750
00679B ,元大美債20年 ,20170622,    37.3793,    37.5185,     8784
00687B ,國泰20年美債 ,20170622,    39.0358,    39.0639,     2551
00694B ,富邦美債1-3  ,20170622,    38.7819,    38.8011,     1475
00695B ,富邦美債7-10 ,20170622,    36.7437,    36.7618,     1871
00696B ,富邦美債20年 ,20170623,    38.9410,    38.9126,     2060
00679B ,元大美債20年 ,20170623,    37.5185,    37.4535,     5690
00697B ,元大美債7-10 ,20170623,    38.2825,    38.5329,     1692
00687B ,國泰20年美債 ,20170623,    39.0545,    39.0358,     1480
00694B ,富邦美債1-3  ,20170623,    38.8011,    38.7723,     1850
00695B ,富邦美債7-10 ,20170623,    36.7073,    36.7437,     2371
00696B ,富邦美債20年 ,20170626,    38.8275,    38.8275,     1421
00679B ,元大美債20年 ,20170626,    37.4535,    37.2959,     7080
00697B ,元大美債7-10 ,20170626,    38.5233,    38.4077,      180
00687B ,國泰20年美債 ,20170626,    39.0358,    38.9047,     2953
00694B ,富邦美債1-3  ,20170626,    38.6379,    38.6379,     1762
00695B ,富邦美債7-10 ,20170626,    36.6437,    36.6346,     1656
00696B ,富邦美債20年 ,20170627,    38.9599,    38.9788,     1750
00679B ,元大美債20年 ,20170627,    37.3793,    37.4906,     4449
00697B ,元大美債7-10 ,20170627,    38.3596,    38.4559,      738
00687B ,國泰20年美債 ,20170627,    39.0732,    39.1201,     3172
00694B ,富邦美債1-3  ,20170627,    38.6571,    38.7051,     1753
00695B ,富邦美債7-10 ,20170627,    36.6346,    36.7164,     2573
00696B ,富邦美債20年 ,20170628,    38.6574,    38.6195,     2733
00679B ,元大美債20年 ,20170628,    37.4535,    37.1475,     5735
00697B ,元大美債7-10 ,20170628,    38.4559,    38.3307,     1274
00687B ,國泰20年美債 ,20170628,    38.9140,    38.7454,     2392
00694B ,富邦美債1-3  ,20170628,    38.7819,    38.7723,     2210
00695B ,富邦美債7-10 ,20170628,    36.5892,    36.5801,     1956
00696B ,富邦美債20年 ,20170629,    38.4683,    38.4210,     1920
00679B ,元大美債20年 ,20170629,    37.5277,    36.9805,      542
00697B ,元大美債7-10 ,20170629,    38.3307,    38.3499,     1569
00687B ,國泰20年美債 ,20170629,    38.6518,    38.5956,     2046
00694B ,富邦美債1-3  ,20170629,    38.7531,    38.7051,     1823
00695B ,富邦美債7-10 ,20170629,    36.5256,    36.5256,     1001
00696B ,富邦美債20年 ,20170630,    38.2319,    38.1185,     1920
00679B ,元大美債20年 ,20170630,    36.8599,    36.6559,      409
00697B ,元大美債7-10 ,20170630,    38.2344,    38.1669,     1184
00687B ,國泰20年美債 ,20170630,    38.4364,    38.2303,     1787
00694B ,富邦美債1-3  ,20170630,    38.7819,    38.7243,     1950
00695B ,富邦美債7-10 ,20170630,    36.4347,    36.3983,     1551
00696B ,富邦美債20年 ,20170703,    37.9672,    37.9861,     2020
00679B ,元大美債20年 ,20170703,    36.5817,    36.5260,     1240
00697B ,元大美債7-10 ,20170703,    38.0417,    38.0417,     1236
00687B ,國泰20年美債 ,20170703,    38.1273,    38.1273,      979
00694B ,富邦美債1-3  ,20170703,    38.6859,    38.7339,     1985
00695B ,富邦美債7-10 ,20170703,    36.2620,    36.2711,     1701
00696B ,富邦美債20年 ,20170704,    37.9389,    38.0239,     1961
00679B ,元大美債20年 ,20170704,    36.4518,    36.6095,     3802
00697B ,元大美債7-10 ,20170704,    38.0417,    38.0899,     1351
00687B ,國泰20年美債 ,20170704,    37.9587,    38.2584,     2199
00694B ,富邦美債1-3  ,20170704,    38.7723,    38.8395,     2750
00695B ,富邦美債7-10 ,20170704,    36.3165,    36.3529,     2100
00696B ,富邦美債20年 ,20170705,    38.0807,    38.0618,     1400
00679B ,元大美債20年 ,20170705,    36.6095,    36.6095,     1340
00697B ,元大美債7-10 ,20170705,    38.0706,    38.0803,     1411
00687B ,國泰20年美債 ,20170705,    38.2865,    38.2584,      601
00694B ,富邦美債1-3  ,20170705,    38.8203,    38.8107,     1551
00695B ,富邦美債7-10 ,20170705,    36.3620,    36.3620,     1300
00696B ,富邦美債20年 ,20170706,    38.1090,    38.1468,     2238
00679B ,元大美債20年 ,20170706,    36.6651,    36.6930,     1325
00697B ,元大美債7-10 ,20170706,    38.0803,    38.2151,     1290
00687B ,國泰20年美債 ,20170706,    38.2584,    38.3521,      419
00694B ,富邦美債1-3  ,20170706,    38.8587,    38.9259,     2095
00695B ,富邦美債7-10 ,20170706,    36.4074,    36.4892,     1615
00696B ,富邦美債20年 ,20170707,    37.8254,    37.8065,     2343
00679B ,元大美債20年 ,20170707,    36.4518,    36.3127,     2015
00697B ,元大美債7-10 ,20170707,    38.2151,    38.0803,     2017
00687B ,國泰20年美債 ,20170707,    38.0243,    37.9400,     1968
00694B ,富邦美債1-3  ,20170707,    38.9547,    38.9163,     1840
00695B ,富邦美債7-10 ,20170707,    36.4165,    36.3529,     2009
00696B ,富邦美債20年 ,20170710,    37.6458,    37.6269,     1740
00679B ,元大美債20年 ,20170710,    36.2663,    36.1365,     2179
00697B ,元大美債7-10 ,20170710,    38.0417,    38.0032,     2114
00687B ,國泰20年美債 ,20170710,    37.7995,    37.7902,     1373
00694B ,富邦美債1-3  ,20170710,    38.8971,    38.8779,     1880
00695B ,富邦美債7-10 ,20170710,    36.3256,    36.3074,     1904
00696B ,富邦美債20年 ,20170711,    37.6931,    37.6647,     1500
00679B ,元大美債20年 ,20170711,    36.2014,    36.1736,     2182
00697B ,元大美債7-10 ,20170711,    38.0417,    38.0128,     2181
00687B ,國泰20年美債 ,20170711,    37.8183,    37.7714,     2002
00694B ,富邦美債1-3  ,20170711,    38.9451,    38.9067,     1720
00695B ,富邦美債7-10 ,20170711,    36.3620,    36.3256,     1881
00696B ,富邦美債20年 ,20170712,    37.6836,    37.6269,     1986
00679B ,元大美債20年 ,20170712,    36.2199,    36.1550,     2748
00697B ,元大美債7-10 ,20170712,    38.1284,    38.0610,     2669
00687B ,國泰20年美債 ,20170712,    37.8370,    37.7714,     1134
00694B ,富邦美債1-3  ,20170712,    38.8587,    38.8299,     1900
00695B ,富邦美債7-10 ,20170712,    36.3620,    36.3256,     1953
00696B ,富邦美債20年 ,20170713,    37.8160,    37.7876,     2279
00679B ,元大美債20年 ,20170713,    36.3591,    36.2941,     2175
00697B ,元大美債7-10 ,20170713,    38.0417,    38.0032,     2237
00687B ,國泰20年美債 ,20170713,    38.0899,    37.9681,      903
00694B ,富邦美債1-3  ,20170713,    38.7627,    38.6667,     1758
00695B ,富邦美債7-10 ,20170713,    36.3256,    36.3074,     1901
00696B ,富邦美債20年 ,20170714,    37.5607,    37.5985,     1795
00679B ,元大美債20年 ,20170714,    36.1736,    36.0994,     2194
00697B ,元大美債7-10 ,20170714,    37.9551,    37.9936,     2377
