證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00719B ,元大美債1-3  ,20180322,    29.4169,    29.3972,      408
00696B ,富邦美債20年 ,20180323,    36.1695,    36.0837,    40577
00679B ,元大美債20年 ,20180323,    34.3259,    34.4020,      616
00697B ,元大美債7-10 ,20180323,    35.4992,    35.4607,      481
00687B ,國泰20年美債 ,20180323,    35.7954,    35.8240,      470
00694B ,富邦美債1-3  ,20180323,    37.0331,    37.0234,      504
00695B ,富邦美債7-10 ,20180323,    33.9194,    33.8919,      651
00719B ,元大美債1-3  ,20180323,    29.4562,    29.4562,      403
00696B ,富邦美債20年 ,20180326,    35.9693,    35.9598,      504
00679B ,元大美債20年 ,20180326,    34.4401,    34.2498,      453
00697B ,元大美債7-10 ,20180326,    35.4318,    35.4222,      300
00687B ,國泰20年美債 ,20180326,    35.6715,    35.5953,      453
00694B ,富邦美債1-3  ,20180326,    37.0234,    37.0138,      504
00695B ,富邦美債7-10 ,20180326,    33.8554,    33.8737,      504
00719B ,元大美債1-3  ,20180326,    29.4562,    29.4267,      412
00696B ,富邦美債20年 ,20180327,    35.8454,    35.8931,      531
00679B ,元大美債20年 ,20180327,    34.2307,    34.1832,      499
00697B ,元大美債7-10 ,20180327,    35.3451,    35.3547,      453
00687B ,國泰20年美債 ,20180327,    35.5286,    35.5477,      433
00694B ,富邦美債1-3  ,20180327,    36.9753,    36.9464,      503
00695B ,富邦美債7-10 ,20180327,    33.7000,    33.7000,      502
00719B ,元大美債1-3  ,20180327,    29.3972,    29.3874,      403
00696B ,富邦美債20年 ,20180328,    36.1791,    36.1886,      502
00679B ,元大美債20年 ,20180328,    34.4211,    34.4782,      522
00697B ,元大美債7-10 ,20180328,    35.4799,    35.5281,      453
00687B ,國泰20年美債 ,20180328,    35.8907,    35.9097,      597
00694B ,富邦美債1-3  ,20180328,    36.9753,    37.0234,      504
00695B ,富邦美債7-10 ,20180328,    33.9102,    33.9102,      521
00719B ,元大美債1-3  ,20180328,    29.4267,    29.4267,      402
00696B ,富邦美債20年 ,20180329,    36.4174,    36.3983,      531
00679B ,元大美債20年 ,20180329,    34.5162,    34.5924,     3429
00697B ,元大美債7-10 ,20180329,    35.5377,    35.6148,      453
00687B ,國泰20年美債 ,20180329,    35.9859,    36.0145,      454
00694B ,富邦美債1-3  ,20180329,    37.0042,    37.0042,      500
00695B ,富邦美債7-10 ,20180329,    33.9559,    33.9559,      524
00719B ,元大美債1-3  ,20180329,    29.4267,    29.4071,      401
00696B ,富邦美債20年 ,20180330,    36.4174,    36.4174,      500
00679B ,元大美債20年 ,20180330,    34.6209,    34.6495,     1123
00697B ,元大美債7-10 ,20180330,    35.6340,    35.6244,      750
00687B ,國泰20年美債 ,20180330,    36.1574,    36.1574,      400
00694B ,富邦美債1-3  ,20180330,    36.9945,    36.9945,      500
00695B ,富邦美債7-10 ,20180330,    34.0016,    34.0016,    27000
00719B ,元大美債1-3  ,20180330,    29.4856,    29.4169,      401
00696B ,富邦美債20年 ,20180331,    36.6081,    36.6081,      500
00679B ,元大美債20年 ,20180331,    34.6875,    34.7637,      182
00697B ,元大美債7-10 ,20180331,    35.6340,    35.6340,      150
00687B ,國泰20年美債 ,20180331,    36.2051,    36.2146,      401
00694B ,富邦美債1-3  ,20180331,    36.9464,    36.9464,      500
00695B ,富邦美債7-10 ,20180331,    34.1844,    34.1844,      500
00719B ,元大美債1-3  ,20180331,    29.4562,    29.3874,      401
00696B ,富邦美債20年 ,20180402,    36.5413,    36.5318,      552
00679B ,元大美債20年 ,20180402,    34.7922,    34.7351,      538
00697B ,元大美債7-10 ,20180402,    35.5474,    35.5474,      450
00687B ,國泰20年美債 ,20180402,    36.0145,    36.2051,      572
00694B ,富邦美債1-3  ,20180402,    36.9753,    36.9945,      550
00695B ,富邦美債7-10 ,20180402,    34.2027,    34.1113,      686
00719B ,元大美債1-3  ,20180402,    29.3874,    29.4267,      401
00696B ,富邦美債20年 ,20180403,    36.6557,    36.6557,      500
00679B ,元大美債20年 ,20180403,    34.9540,    34.9159,      527
00697B ,元大美債7-10 ,20180403,    35.5570,    35.5666,      455
00687B ,國泰20年美債 ,20180403,    36.3099,    36.3289,      489
00694B ,富邦美債1-3  ,20180403,    37.0427,    37.0427,      500
00695B ,富邦美債7-10 ,20180403,    34.2484,    34.2301,      583
00719B ,元大美債1-3  ,20180403,    29.4267,    29.4267,      401
00696B ,富邦美債20年 ,20180409,    36.4174,    36.3602,      508
00679B ,元大美債20年 ,20180409,    34.7827,    34.5829,      642
00697B ,元大美債7-10 ,20180409,    35.5859,    35.5859,      452
00687B ,國泰20年美債 ,20180409,    36.0145,    35.9669,      502
00694B ,富邦美債1-3  ,20180409,    37.0812,    37.1294,      505
00695B ,富邦美債7-10 ,20180409,    34.1844,    34.1570,      513
00719B ,元大美債1-3  ,20180409,    29.4856,    29.4758,      401
00696B ,富邦美債20年 ,20180410,    36.4555,    36.3030,      532
00679B ,元大美債20年 ,20180410,    34.6780,    34.6019,      504
00697B ,元大美債7-10 ,20180410,    35.4992,    35.5088,      450
00687B ,國泰20年美債 ,20180410,    36.1003,    36.0145,      434
00694B ,富邦美債1-3  ,20180410,    37.1198,    37.1005,      531
00695B ,富邦美債7-10 ,20180410,    34.1570,    34.1022,      531
00719B ,元大美債1-3  ,20180410,    29.4954,    29.4562,      410
00696B ,富邦美債20年 ,20180411,    36.4460,    36.4555,      530
00679B ,元大美債20年 ,20180411,    34.7161,    34.6875,      840
00697B ,元大美債7-10 ,20180411,    35.6822,    35.5377,      458
00687B ,國泰20年美債 ,20180411,    36.0336,    36.0907,      448
00694B ,富邦美債1-3  ,20180411,    37.0523,    37.1005,      501
00695B ,富邦美債7-10 ,20180411,    34.1387,    34.1204,      669
00719B ,元大美債1-3  ,20180411,    29.4660,    29.4562,      506
00696B ,富邦美債20年 ,20180412,    36.6271,    36.6843,      530
00679B ,元大美債20年 ,20180412,    34.7827,    34.9064,      577
00697B ,元大美債7-10 ,20180412,    35.6340,    35.6629,      456
00687B ,國泰20年美債 ,20180412,    36.2908,    36.2718,     3001
00694B ,富邦美債1-3  ,20180412,    37.1101,    37.1487,      500
00695B ,富邦美債7-10 ,20180412,    34.1936,    34.2118,      501
00719B ,元大美債1-3  ,20180412,    29.4856,    29.5053,      403
00696B ,富邦美債20年 ,20180413,    36.5604,    36.5604,      250
00679B ,元大美債20年 ,20180413,    34.7637,    34.8208,      519
00697B ,元大美債7-10 ,20180413,    35.6726,    35.6822,      452
00687B ,國泰20年美債 ,20180413,    36.1765,    36.2527,      411
00694B ,富邦美債1-3  ,20180413,    37.2065,    37.2065,      250
00695B ,富邦美債7-10 ,20180413,    34.2118,    34.2118,      250
00719B ,元大美債1-3  ,20180413,    29.4856,    29.5936,      567
00696B ,富邦美債20年 ,20180416,    36.4841,    36.5604,      504
00679B ,元大美債20年 ,20180416,    34.6875,    34.8303,      607
00697B ,元大美債7-10 ,20180416,    35.6437,    35.7400,      461
00687B ,國泰20年美債 ,20180416,    36.0240,    36.2051,      411
00694B ,富邦美債1-3  ,20180416,    37.2450,    37.3028,      504
00695B ,富邦美債7-10 ,20180416,    34.2027,    34.2758,    27223
00719B ,元大美債1-3  ,20180416,    29.5642,    29.6231,      575
00696B ,富邦美債20年 ,20180417,    36.6557,    36.6557,      250
00679B ,元大美債20年 ,20180417,    34.8493,    34.9064,      506
00697B ,元大美債7-10 ,20180417,    35.7303,    35.7207,      534
00687B ,國泰20年美債 ,20180417,    36.2813,    36.2718,      411
00694B ,富邦美債1-3  ,20180417,    37.3124,    37.2835,      932
00695B ,富邦美債7-10 ,20180417,    34.2941,    34.3032,      318
00719B ,元大美債1-3  ,20180417,    29.6034,    29.6133,      456
00696B ,富邦美債20年 ,20180418,    36.6843,    36.6843,      120
00679B ,元大美債20年 ,20180418,    34.8874,    34.9254,      512
00697B ,元大美債7-10 ,20180418,    35.6629,    35.6629,      450
00687B ,國泰20年美債 ,20180418,    36.2908,    36.3099,      411
00694B ,富邦美債1-3  ,20180418,    37.2546,    37.2546,      120
00695B ,富邦美債7-10 ,20180418,    34.2667,    34.2301,      285
00719B ,元大美債1-3  ,20180418,    29.5347,    29.5543,      403
00696B ,富邦美債20年 ,20180419,    36.4841,    36.4460,      122
00679B ,元大美債20年 ,20180419,    34.6780,    34.7066,      507
00697B ,元大美債7-10 ,20180419,    35.6244,    35.5955,      450
00687B ,國泰20年美債 ,20180419,    36.0336,    36.1098,      592
00694B ,富邦美債1-3  ,20180419,    37.2450,    37.2932,      121
00695B ,富邦美債7-10 ,20180419,    34.1296,    34.1296,      136
00719B ,元大美債1-3  ,20180419,    29.5347,    29.5543,      402
00696B ,富邦美債20年 ,20180420,    36.1505,    36.1695,      121
00679B ,元大美債20年 ,20180420,    34.4972,    34.4401,      639
00697B ,元大美債7-10 ,20180420,    35.5185,    35.5377,      456
00687B ,國泰20年美債 ,20180420,    35.7954,    35.8049,      403
00694B ,富邦美債1-3  ,20180420,    37.2643,    37.2643,      120
00695B ,富邦美債7-10 ,20180420,    34.0656,    34.0747,      121
00719B ,元大美債1-3  ,20180420,    29.5936,    29.5936,      401
00696B ,富邦美債20年 ,20180423,    35.8835,    35.9121,    38125
00679B ,元大美債20年 ,20180423,    34.2878,    34.2783,      652
00697B ,元大美債7-10 ,20180423,    35.5185,    35.4992,      450
00687B ,國泰20年美債 ,20180423,    35.6525,    35.5953,      483
00694B ,富邦美債1-3  ,20180423,    37.3124,    37.3413,     6057
00695B ,富邦美債7-10 ,20180423,    34.0839,    34.0839,      120
00719B ,元大美債1-3  ,20180423,    29.6624,    29.6624,      686
00696B ,富邦美債20年 ,20180424,    36.1409,    36.1981,      285
00679B ,元大美債20年 ,20180424,    34.3164,    34.4877,      552
00697B ,元大美債7-10 ,20180424,    35.6726,    35.6244,      458
00687B ,國泰20年美債 ,20180424,    35.8240,    35.9002,      768
00694B ,富邦美債1-3  ,20180424,    37.5726,    37.5051,     7441
00695B ,富邦美債7-10 ,20180424,    34.2027,    34.2027,      120
00719B ,元大美債1-3  ,20180424,    29.7704,    29.7900,      404
00696B ,富邦美債20年 ,20180425,    35.8454,    35.9026,      180
00679B ,元大美債20年 ,20180425,    34.2878,    34.3164,    41072
00697B ,元大美債7-10 ,20180425,    35.6148,    35.6244,      639
00687B ,國泰20年美債 ,20180425,    35.7859,    35.7001,      619
00694B ,富邦美債1-3  ,20180425,    37.5533,    37.6015,     2549
00695B ,富邦美債7-10 ,20180425,    34.1570,    34.1570,      120
00719B ,元大美債1-3  ,20180425,    29.7507,    29.8096,      661
00696B ,富邦美債20年 ,20180426,    35.9026,    35.8359,      125
00679B ,元大美債20年 ,20180426,    34.1832,    34.1927,    41860
00697B ,元大美債7-10 ,20180426,    35.6340,    35.6340,      457
00687B ,國泰20年美債 ,20180426,    35.5667,    35.4429,     4016
00694B ,富邦美債1-3  ,20180426,    37.6593,    37.6593,      179
00695B ,富邦美債7-10 ,20180426,    34.1936,    34.2118,      124
00719B ,元大美債1-3  ,20180426,    29.8293,    29.8685,      442
00696B ,富邦美債20年 ,20180427,    36.1314,    36.0933,      300
00679B ,元大美債20年 ,20180427,    34.2878,    34.3925,    25660
00697B ,元大美債7-10 ,20180427,    35.6629,    35.7207,      622
00687B ,國泰20年美債 ,20180427,    35.8335,    35.7954,    14540
00694B ,富邦美債1-3  ,20180427,    37.6882,    37.6593,      343
00695B ,富邦美債7-10 ,20180427,    34.2850,    34.2850,      208
00719B ,元大美債1-3  ,20180427,    29.8685,    29.8489,      335
00696B ,富邦美債20年 ,20180430,    36.1791,    36.1219,      301
00679B ,元大美債20年 ,20180430,    34.3925,    34.4972,      496
00697B ,元大美債7-10 ,20180430,    35.5088,    35.6340,      476
00687B ,國泰20年美債 ,20180430,    35.8144,    35.8430,      402
00694B ,富邦美債1-3  ,20180430,    37.6496,    37.4762,      303
00695B ,富邦美債7-10 ,20180430,    34.2118,    34.1844,      303
00719B ,元大美債1-3  ,20180430,    29.8391,    29.7704,      404
00696B ,富邦美債20年 ,20180502,    36.3125,    36.3411,      351
00679B ,元大美債20年 ,20180502,    34.5448,    34.7351,     1171
00697B ,元大美債7-10 ,20180502,    35.7496,    35.8748,      508
00687B ,國泰20年美債 ,20180502,    36.0250,    36.1016,     1108
00694B ,富邦美債1-3  ,20180502,    37.5726,    37.7363,      621
00695B ,富邦美債7-10 ,20180502,    34.3307,    34.4221,      528
00719B ,元大美債1-3  ,20180502,    29.8685,    30.0060,      632
00696B ,富邦美債20年 ,20180503,    36.3259,    36.1254,      393
00679B ,元大美債20年 ,20180503,    34.7351,    34.6495,      613
00697B ,元大美債7-10 ,20180503,    35.9711,    35.7881,      977
00687B ,國泰20年美債 ,20180503,    36.0537,    36.0154,      424
00694B ,富邦美債1-3  ,20180503,    37.7770,    37.7866,      331
00695B ,富邦美債7-10 ,20180503,    34.4431,    34.3608,      412
00719B ,元大美債1-3  ,20180503,    30.0256,    29.9471,      978
00696B ,富邦美債20年 ,20180504,    36.3354,    36.3163,      300
00679B ,元大美債20年 ,20180504,    34.6685,    34.6780,      544
00697B ,元大美債7-10 ,20180504,    35.8459,    35.8363,      451
00687B ,國泰20年美債 ,20180504,    36.0345,    36.0537,      401
00694B ,富邦美債1-3  ,20180504,    37.7866,    37.7286,      303
00695B ,富邦美債7-10 ,20180504,    34.3791,    34.3699,      300
00719B ,元大美債1-3  ,20180504,    29.8980,    29.9275,      404
00696B ,富邦美債20年 ,20180507,    36.3450,    36.4213,      306
00679B ,元大美債20年 ,20180507,    34.7256,    34.7732,      640
00697B ,元大美債7-10 ,20180507,    35.8844,    35.9230,      680
00687B ,國泰20年美債 ,20180507,    36.1207,    36.1494,      660
00694B ,富邦美債1-3  ,20180507,    37.6513,    37.6996,      391
00695B ,富邦美債7-10 ,20180507,    34.3791,    34.4339,      404
00719B ,元大美債1-3  ,20180507,    29.9176,    29.9471,      587
00696B ,富邦美債20年 ,20180508,    36.5264,    36.5168,      301
00679B ,元大美債20年 ,20180508,    34.7732,    34.8208,      503
00697B ,元大美債7-10 ,20180508,    35.9326,    35.9711,      456
00687B ,國泰20年美債 ,20180508,    36.2547,    36.2260,      410
00694B ,富邦美債1-3  ,20180508,    37.7383,    37.8060,      405
00695B ,富邦美債7-10 ,20180508,    34.4339,    34.4705,      372
00719B ,元大美債1-3  ,20180508,    29.9864,    30.0256,      403
00696B ,富邦美債20年 ,20180509,    36.4595,    36.5741,      351
00679B ,元大美債20年 ,20180509,    34.7161,    34.8303,      978
00697B ,元大美債7-10 ,20180509,    35.9326,    36.0674,      457
00687B ,國泰20年美債 ,20180509,    36.1781,    36.2643,      529
00694B ,富邦美債1-3  ,20180509,    37.8060,    37.9510,      490
00695B ,富邦美債7-10 ,20180509,    34.5071,    34.5986,      434
00719B ,元大美債1-3  ,20180509,    30.0846,    30.1238,      402
00696B ,富邦美債20年 ,20180510,    36.5836,    36.5264,      300
00679B ,元大美債20年 ,20180510,    34.7827,    34.7732,      622
00697B ,元大美債7-10 ,20180510,    36.0674,    35.9711,      728
00687B ,國泰20年美債 ,20180510,    36.1877,    36.2164,      717
00694B ,富邦美債1-3  ,20180510,    37.9317,    37.9510,      302
00695B ,富邦美債7-10 ,20180510,    34.5711,    34.5620,      306
00719B ,元大美債1-3  ,20180510,    30.1435,    30.1435,      611
00696B ,富邦美債20年 ,20180511,    36.6027,    36.5741,      316
00679B ,元大美債20年 ,20180511,    34.8779,    34.7827,      492
00697B ,元大美債7-10 ,20180511,    35.9422,    35.8652,      456
00687B ,國泰20年美債 ,20180511,    36.2356,    36.2547,      500
00694B ,富邦美債1-3  ,20180511,    37.8253,    37.7480,      303
00695B ,富邦美債7-10 ,20180511,    34.4797,    34.4248,      501
00719B ,元大美債1-3  ,20180511,    30.0256,    29.9667,      482
00696B ,富邦美債20年 ,20180514,    36.6027,    36.6027,      302
00679B ,元大美債20年 ,20180514,    34.8588,    34.8303,      621
00697B ,元大美債7-10 ,20180514,    35.8844,    35.8748,      600
00687B ,國泰20年美債 ,20180514,    36.2930,    36.2835,      431
00694B ,富邦美債1-3  ,20180514,    37.7286,    37.7286,      300
00695B ,富邦美債7-10 ,20180514,    34.4065,    34.4065,      301
00719B ,元大美債1-3  ,20180514,    29.9667,    29.9275,      513
00696B ,富邦美債20年 ,20180515,    36.4691,    36.5073,      300
00679B ,元大美債20年 ,20180515,    34.6970,    34.6875,      682
00697B ,元大美債7-10 ,20180515,    35.8459,    35.8748,      603
00687B ,國泰20年美債 ,20180515,    36.2260,    36.1303,      127
00694B ,富邦美債1-3  ,20180515,    37.7480,    37.7866,      300
00695B ,富邦美債7-10 ,20180515,    34.3791,    34.3516,      312
00719B ,元大美債1-3  ,20180515,    29.9373,    30.0256,      403
00696B ,富邦美債20年 ,20180516,    36.2591,    36.1540,      405
00679B ,元大美債20年 ,20180516,    34.5067,    34.4306,      806
00697B ,元大美債7-10 ,20180516,    35.9133,    35.8074,      607
00687B ,國泰20年美債 ,20180516,    35.8622,    35.8144,      463
00694B ,富邦美債1-3  ,20180516,    37.9704,    37.8737,      361
00695B ,富邦美債7-10 ,20180516,    34.3974,    34.3059,      659
00719B ,元大美債1-3  ,20180516,    30.1533,    30.0551,      403
00696B ,富邦美債20年 ,20180517,    35.9917,    35.9917,      301
00679B ,元大美債20年 ,20180517,    34.3259,    34.3354,    59394
00697B ,元大美債7-10 ,20180517,    35.7207,    35.7014,      308
00687B ,國泰20年美債 ,20180517,    35.6707,    35.6899,     8410
00694B ,富邦美債1-3  ,20180517,    37.8737,    37.8737,      308
00695B ,富邦美債7-10 ,20180517,    34.2510,    34.2419,      405
00719B ,元大美債1-3  ,20180517,    30.0846,    30.0944,      406
00696B ,富邦美債20年 ,20180518,    35.9154,    35.8485,     7827
00679B ,元大美債20年 ,20180518,    34.1356,    34.2498,     1200
00697B ,元大美債7-10 ,20180518,    35.6437,    35.6726,      304
00687B ,國泰20年美債 ,20180518,    35.5271,    35.5559,    30929
00694B ,富邦美債1-3  ,20180518,    37.9414,    37.8737,      305
00695B ,富邦美債7-10 ,20180518,    34.2327,    34.2327,      513
00719B ,元大美債1-3  ,20180518,    30.1533,    30.0846,      401
00696B ,富邦美債20年 ,20180521,    36.2495,    36.3068,      302
00679B ,元大美債20年 ,20180521,    34.4020,    34.5258,      376
00697B ,元大美債7-10 ,20180521,    35.8844,    35.9615,      307
00687B ,國泰20年美債 ,20180521,    35.9197,    35.9867,      452
00694B ,富邦美債1-3  ,20180521,    37.9027,    37.9800,    12808
00695B ,富邦美債7-10 ,20180521,    34.3516,    34.4065,      442
00719B ,元大美債1-3  ,20180521,    30.1631,    30.2024,      404
00696B ,富邦美債20年 ,20180522,    36.3068,    36.2209,      301
00679B ,元大美債20年 ,20180522,    34.5258,    34.5733,      482
00697B ,元大美債7-10 ,20180522,    35.9422,    35.9519,      450
00687B ,國泰20年美債 ,20180522,    35.9771,    35.9867,      407
00694B ,富邦美債1-3  ,20180522,    38.0090,    37.9800,      300
00695B ,富邦美債7-10 ,20180522,    34.4797,    34.4614,      301
00719B ,元大美債1-3  ,20180522,    30.1926,    30.1631,      402
00696B ,富邦美債20年 ,20180523,    36.2304,    36.1636,      311
00679B ,元大美債20年 ,20180523,    34.6595,    34.5063,      524
00697B ,元大美債7-10 ,20180523,    35.9518,    35.9131,      452
00687B ,國泰20年美債 ,20180523,    35.9292,    35.9005,      506
00694B ,富邦美債1-3  ,20180523,    37.9510,    37.9414,      300
00695B ,富邦美債7-10 ,20180523,    34.3699,    34.3791,      311
00719B ,元大美債1-3  ,20180523,    30.1631,    30.1140,      411
00696B ,富邦美債20年 ,20180524,    36.5550,    36.5550,      301
00679B ,元大美債20年 ,20180524,    34.7169,    34.8031,    36442
00697B ,元大美債7-10 ,20180524,    36.0003,    36.1458,      460
00687B ,國泰20年美債 ,20180524,    36.1494,    36.2452,      518
00694B ,富邦美債1-3  ,20180524,    38.0380,    38.1057,    12813
00695B ,富邦美債7-10 ,20180524,    34.5894,    34.6260,     1327
00719B ,元大美債1-3  ,20180524,    30.2220,    30.2122,      405
00696B ,富邦美債20年 ,20180525,    36.6218,    36.6314,      301
00679B ,元大美債20年 ,20180525,    34.8031,    34.8892,      517
00697B ,元大美債7-10 ,20180525,    36.0682,    36.0779,      502
00687B ,國泰20年美債 ,20180525,    36.3217,    36.3409,      561
00694B ,富邦美債1-3  ,20180525,    38.0187,    38.0187,      300
00695B ,富邦美債7-10 ,20180525,    34.6169,    34.5894,      582
00719B ,元大美債1-3  ,20180525,    30.2024,    30.1827,      401
00696B ,富邦美債20年 ,20180528,    36.8891,    36.8891,      303
00679B ,元大美債20年 ,20180528,    35.0998,    35.0806,      618
00697B ,元大美債7-10 ,20180528,    36.1845,    36.2039,      600
00687B ,國泰20年美債 ,20180528,    36.4653,    36.5419,      602
00694B ,富邦美債1-3  ,20180528,    38.0477,    38.1057,      304
00695B ,富邦美債7-10 ,20180528,    34.7083,    34.7357,      305
00719B ,元大美債1-3  ,20180528,    30.2417,    30.2220,      402
00696B ,富邦美債20年 ,20180529,    37.1278,    37.0323,      380
00679B ,元大美債20年 ,20180529,    35.2625,    35.3774,      866
00697B ,元大美債7-10 ,20180529,    36.3688,    36.3881,      503
00687B ,國泰20年美債 ,20180529,    36.8291,    36.9249,      642
00694B ,富邦美債1-3  ,20180529,    38.0961,    38.1347,      446
00695B ,富邦美債7-10 ,20180529,    34.8821,    34.8729,      369
00719B ,元大美債1-3  ,20180529,    30.3104,    30.2711,      412
00696B ,富邦美債20年 ,20180530,    37.6052,    37.5479,    26800
00679B ,元大美債20年 ,20180530,    35.8464,    35.8751,    24676
00697B ,元大美債7-10 ,20180530,    36.6790,    36.6790,      450
00687B ,國泰20年美債 ,20180530,    37.4035,    37.3940,      870
00694B ,富邦美債1-3  ,20180530,    38.2411,    38.2701,      305
00695B ,富邦美債7-10 ,20180530,    35.2205,    35.2022,      300
00719B ,元大美債1-3  ,20180530,    30.4380,    30.3791,      406
00696B ,富邦美債20年 ,20180531,    37.4715,    37.3092,      304
00679B ,元大美債20年 ,20180531,    35.7028,    35.6741,    14064
00697B ,元大美債7-10 ,20180531,    36.6305,    36.4851,      471
00687B ,國泰20年美債 ,20180531,    37.1738,    37.1738,    47900
00694B ,富邦美債1-3  ,20180531,    38.2798,    38.1927,      354
00695B ,富邦美債7-10 ,20180531,    35.1839,    34.9918,      301
00719B ,元大美債1-3  ,20180531,    30.3791,    30.3497,      405
00696B ,富邦美債20年 ,20180601,    37.0419,    37.0228,      355
00679B ,元大美債20年 ,20180601,    35.7028,    35.5209,      348
00697B ,元大美債7-10 ,20180601,    36.4560,    36.3978,      731
00687B ,國泰20年美債 ,20180601,    37.0302,    36.9727,      618
00694B ,富邦美債1-3  ,20180601,    38.1637,    38.0477,      308
00695B ,富邦美債7-10 ,20180601,    34.9461,    34.8638,      300
00719B ,元大美債1-3  ,20180601,    30.2613,    30.2220,      402
00696B ,富邦美債20年 ,20180604,    36.7841,    36.7555,      306
00679B ,元大美債20年 ,20180604,    35.3295,    35.2625,      351
00697B ,元大美債7-10 ,20180604,    36.1458,    36.1070,      304
00687B ,國泰20年美債 ,20180604,    36.7621,    36.7047,      415
00694B ,富邦美債1-3  ,20180604,    37.9510,    37.9704,      300
00695B ,富邦美債7-10 ,20180604,    34.6626,    34.6717,      300
00719B ,元大美債1-3  ,20180604,    30.2220,    30.0944,      406
00696B ,富邦美債20年 ,20180605,    36.5455,    36.5455,      271
00679B ,元大美債20年 ,20180605,    35.2242,    35.1381,      461
00697B ,元大美債7-10 ,20180605,    36.0294,    36.0973,      334
00687B ,國泰20年美債 ,20180605,    36.5419,    36.4941,      535
00694B ,富邦美債1-3  ,20180605,    38.0187,    37.8640,      301
00695B ,富邦美債7-10 ,20180605,    34.6443,    34.5528,      301
00719B ,元大美債1-3  ,20180605,    30.1238,    30.0453,      401
00696B ,富邦美債20年 ,20180606,    36.5455,    36.5073,      314
00679B ,元大美債20年 ,20180606,    35.1189,    35.0328,      393
00697B ,元大美債7-10 ,20180606,    36.1458,    36.1070,      334
00687B ,國泰20年美債 ,20180606,    36.5036,    36.4558,      608
00694B ,富邦美債1-3  ,20180606,    37.8930,    37.9123,    25307
00695B ,富邦美債7-10 ,20180606,    34.5894,    34.5803,      305
00719B ,元大美債1-3  ,20180606,    30.1042,    30.0256,      403
00696B ,富邦美債20年 ,20180607,    36.1349,    36.1922,      322
00679B ,元大美債20年 ,20180607,    34.8509,    34.8414,      505
00697B ,元大美債7-10 ,20180607,    35.8937,    35.9228,      333
00687B ,國泰20年美債 ,20180607,    36.0728,    36.2069,      518
00694B ,富邦美債1-3  ,20180607,    37.7093,    37.7673,      301
00695B ,富邦美債7-10 ,20180607,    34.3699,    34.4156,      301
00719B ,元大美債1-3  ,20180607,    30.0256,    29.9962,      402
00696B ,富邦美債20年 ,20180608,    36.5455,    36.6791,    26331
00679B ,元大美債20年 ,20180608,    34.9371,    35.1572,      357
00697B ,元大美債7-10 ,20180608,    36.1458,    36.1361,      306
00687B ,國泰20年美債 ,20180608,    36.4749,    36.5515,     8486
00694B ,富邦美債1-3  ,20180608,    37.8543,    37.8737,      302
00695B ,富邦美債7-10 ,20180608,    34.5711,    34.6077,      356
00719B ,元大美債1-3  ,20180608,    29.9962,    30.0747,      402
00696B ,富邦美債20年 ,20180611,    36.5741,    36.6123,      304
00679B ,元大美債20年 ,20180611,    35.1764,    35.0711,      324
00697B ,元大美債7-10 ,20180611,    36.0876,    36.0973,      301
00687B ,國泰20年美債 ,20180611,    36.4366,    36.4462,      549
00694B ,富邦美債1-3  ,20180611,    37.9220,    37.9510,      300
00695B ,富邦美債7-10 ,20180611,    34.5986,    34.6169,      300
00719B ,元大美債1-3  ,20180611,    30.1238,    30.0944,      401
00696B ,富邦美債20年 ,20180612,    36.6887,    36.6696,      300
00679B ,元大美債20年 ,20180612,    35.0998,    35.1189,      392
00697B ,元大美債7-10 ,20180612,    36.1651,    36.1748,      306
00687B ,國泰20年美債 ,20180612,    36.5132,    36.4941,      561
00694B ,富邦美債1-3  ,20180612,    37.9607,    37.9607,      302
00695B ,富邦美債7-10 ,20180612,    34.6169,    34.6443,      303
00719B ,元大美債1-3  ,20180612,    30.1631,    30.1533,      401
00696B ,富邦美債20年 ,20180613,    36.7173,    36.6887,      300
00679B ,元大美債20年 ,20180613,    35.1189,    35.0806,      389
00697B ,元大美債7-10 ,20180613,    36.1555,    36.1458,      301
00687B ,國泰20年美債 ,20180613,    36.4941,    36.4558,      401
00694B ,富邦美債1-3  ,20180613,    37.9994,    37.9800,      300
00695B ,富邦美債7-10 ,20180613,    34.6809,    34.6534,      504
00719B ,元大美債1-3  ,20180613,    30.1926,    30.2220,      404
00696B ,富邦美債20年 ,20180614,    36.8223,    36.8796,      450
00679B ,元大美債20年 ,20180614,    35.2242,    35.3199,      466
00697B ,元大美債7-10 ,20180614,    36.1555,    36.2233,      309
00687B ,國泰20年美債 ,20180614,    36.6760,    36.7238,      405
00694B ,富邦美債1-3  ,20180614,    37.9607,    38.0090,      301
00695B ,富邦美債7-10 ,20180614,    34.6169,    34.7083,      301
00719B ,元大美債1-3  ,20180614,    30.1729,    30.1827,      406
00696B ,富邦美債20年 ,20180615,    37.1374,    37.1278,      421
00679B ,元大美債20年 ,20180615,    35.3678,    35.5592,    13972
00697B ,元大美債7-10 ,20180615,    36.4366,    36.4269,      313
00687B ,國泰20年美債 ,20180615,    36.9632,    36.9727,    16417
00694B ,富邦美債1-3  ,20180615,    38.1927,    38.1541,      305
00695B ,富邦美債7-10 ,20180615,    34.8364,    34.8364,      343
00719B ,元大美債1-3  ,20180615,    30.3006,    30.3006,      404
